Question,A,B,C,D,Answer
A plan left 40 minutes late due to bad whether and order to reach its destination 1600 km away in time it had increase its speed by 400 kmph from its usual speed Find the usual speed of the plane ,600,400,1000,800,D
A thief seeing a policeman at a distance of 150 metres starts running at 10 kmph and the policeman gives immediate chase at 12 kmph When the thief is overtaken the thief has traveled a distance of ,750 m,900 m,800 m,1 km,A
The ratio between the speed of a bus and train is 15 27 respectively Also a car covered a distance of 720 km in 9 hours The speed of the Bus is three fourth the speed of the car How much distance will the train cover in 7 hours ,760 km,756 km,740 km,None of these,B
A starts 3 Minutes after B for a place 4 5 km distant B on reaching his destination immediately returns and after walking a km meets A If A can walk 1 Km in 18 minutes then what is B s speed ,4 km/h,6 km/h,7 km/h,5 km/h,D
A car travels 50 faster than a bike Both start at the same time from A to B The car reaches 25 minutes earlier than the bike If the distance from A to B is 100 km find the speed of the bike ,120 km,100 km,80 km,75 km,C
Two trains starting at the same time from two stations 300 km apart and going in opposite directions cross each other at a distance of 160 km from one of them The ratio of their speeds is ,7:09,16:20,8:07,8:12,C
Two runner start running together for a certain distance one at 5 km h and another at 3 km h The former arrives one and half an hour before the latter The distance in Km is ,12,20,25,36,B
A railway passenger counts the telegraph poles on the rail road as he passes them The telegraph poles are at a distance of 50 metres What will be his count in 4 hours if the speed of the train is 45 km per hour ,600,2500,3600,5000,C
Without stoppage a train travels a certain distance with an average speed of 60 km h and with stoppage it covers the same distance with an average speed of 40 km h On an average how many minutes per hour does train stop during the journey ,20 min/h,15 min/h,10 min/h,12 min/h,A
A train without stopping travels 60 km h and with stoppage 40 km h What is the time taken for stoppage on a route 300 km ,10 hours,20 hours,5 hours,2.5 hours,D
A distance of 425 km separates two trains moving towards each other at a speed of 200 km hr each What will be the distance between them after 1 hr 30 min if they reduce their speed by half every half an hour ,75 km,120 km,150 km,200 km,A
Ashok left from place A for place B at 8 am and Rahul left place B for place A at 10 00 am the distance between place A and B is 637 km If Ashok and Rahul are travelling at a uniform speed of 39 kmph and 47 kmph respectively at what time will they meet ,5.30 pm,4.30 pm,5 pm,4 pm,B
A boy is running at a speed of p kmph to cover a distance of 1 km But due to the slippery ground his speed is reduced by q kmph p q If he takes r hours to cover the distance then ,,$$r = p - q$$,,$$r = p + r$$,A
,300 kmph,360 kmph,600 kmph,720 kmph,D
A man on tour travels 160 km by car at 64 km hr and another 160 km by bus at 80 km hr The average speed for the whole journey is ,35.55 km/hr,36 km/hr,71.11 km/hr,71 km/hr,C
With an average speed of 50 km hr a train reaches its destination in time If it goes with an average speed of 40 km hr it is late by 24 min The total journey is ,30 km,40 km,70 km,80 km,D
Two boys A and B start at the same time to ride from Delhi to Meerut 60 km away A travels 4 km an hours slower than B B reaches Meerut and at once turns back meeting A 12 km from Meerut A s rate was ,4 km/hr,8 km/hr,12 km/hr,16 km/hr,B
Two guns were fired from the same place at an interval of 8 minutes A person approaching the place observes that 5 minutes 52 seconds have elapsed between the hearing of the sound of the two guns If the velocity of the sound is 330 m sec the man was approaching the place at what speed in km hr ,24,27,30,36,B
Amit starts from a point A and walks to another points B and then returns from B to A by his car and thus takes a total time of 6 hours and 45 min If he had driven both ways in his car he would have taken 2 hours less How long would it take for him to walk both ways ,7 hr 45 min,8 hr 15 min,8 hr 30 min,8 hr 45 min,D
A car travels the first one third of a certain distance with a speed of 10 km hr the next one third distance with a speed of 20 km hr and the last one third distance with a speed of 60 km hr thee average speed of the car for the whole journey is ,18 km/hr,24 km/hr,30 km/hr,36 km/hr,A
,1540 miles,880 miles,756 miles,616 miles,B
The speeds of three cars are the ratio 2 3 4 The ratio of the taken by these cars to travel the same distance is ,2:03:04,4:03:02,4:03:06,6:04:03,D
,4 km,,,,D
If a train runs at 40 kmph it reaches its destination late by 11 minutes but if it runs at 50 kmph it is late by 5 min only The correct time for the train to complete its journey is ,13 min,15 min,19 min,21 min,C
A cyclist drove one kilometre with the wind in his back in 3 minutes and drove the same way back against the wind in 4 minutes If we assume that the cyclist always puts constant force on the pedals how much time would it take him to drive 1 km without wind ,,,,,C
,31.2 km,38.4 km,32.8 km,24 km,D
,48 km/hr,50 km/hr,55 km/hr,60 km/hr,B
The speed of electric train is 25 more than that of steam engine train What is the time taken by an electric train to cover a distance which a steam engine takes 4 hours 25 minutes to cover ,,,,,D
I started on my bicycle at 7 am to reach a certain place After going a certain distance my bicycle went out of order Consequently I rested for 35 minutes and came back to my house walking all the way I reached my house at 1 pm If my cycling speed is 10 kmph and my walking speed is 1 kmph then on my bicycle I covered a distance of ,,,,,A
A man covered a certain distance at some speed Had he moved 3 kmph faster he would have taken 40 minutes less If he had moved 2 kmph slower he would have taken 40 minutes more The distance in km is ,$$35$$ km,,,$$40$$ km,D
Two boats A and B start towards each other from two places 108 km apart Speed of the boats A and B in still water are 12 km h and 15 km h respectively If A proceeds down and B up the stream they will meet after ,4.5 hours,4 hours,5.4 hours,6 hours,B
The speed of a motor boat is that of the current of water as 36 5 The boat goes along with the current in 5 hours 10 minutes It will come back in ,5 hours 50 minutes,6 hours,6 hours 50 minutes,12 hours 10 minutes ,C
In a 100m race Kamal defeats Bimal by 5 seconds If the speed of Kamal is 18 kmph then the speed of Bimal is ,15.4 kmph,14.5 kmph,14.4 kmph,14 kmph,C
In a race of 200 meters B can gives a start of 10 meters to A and C can gives a start of 20 meters to B The starts that C can gives to A in the same race is ,30 meter,25 meter,29 meter,27 meter,C
In a 1 kilometre race A can beat B by 30 meters while in a 500 meter race B can beat C by 25 meters By how many meters will A beats C in a 100 meter race ,7.85,7.25,7.15,7.03,A
,4 km/h,6 km/h,"10 km/h	",12 km/h,B
,10 hours,12 hours,15 hours,24 hours,D
Ravi and Ajay start simultaneously from a place A towards B 60 km apart Ravi s speed is 4km h less than that of Ajay Ajay after reaching B turns back and meets Ravi at a places 12 km away from B Ravi s speed is ,12 km/h,10 km/h,8 km/h,6 km/h,C
The speed of A and B are in the ratio 3 4 A takes 20 minutes more than B to reach a destination Time in which A reach the destination ,,2 hours,,,A
A man covers half of his journey at 6 km h and the remaining half at 3 km h His average speed is ,9 km/h,4.5 km/h,4 km/h,3 km/h,C
A train passes two persons walking in the same direction at a speed of 3 kmph and 5 kmph respectively in 10 seconds and 11 seconds respectively The speed of the train is ,28 kmph,27 kmph,25 kmph,24 kmph,C
A train passes two bridges of length 800 m and 400 m in 100 seconds and 60 seconds respectively The length of the train is ,80m,90m,200m,150m,C
A train travelling with a speed of 60 kmph catches another train travelling in the same direction and then leaves it 120 m behind in 18 seconds The speed of the second train is ,26 kmph,35 kmph,36 kmph,63 kmph,C
A man goes downstream with a boat to some destination and returns upstream to his original place in 5 hours If the speed of the boat in still water and the stream are 10 kmph and 4 kmph respectively the distance of the destination from the starting place is ,16km,18 km,21 km,25 km,C
,2 kmph,2.5 kmph,3 kmph,4 kmph,B
Two guns are fired from the same place at an interval of 6 minutes A person approaching the place observes that 5 minutes 52 seconds have elapsed between the hearings of the sound of the two guns If the velocity of the sound is 330 m sec the man was approaching that place at what speed in km h ,24,27,30,36,B
,30 min.,28 min.,25 min.,23 min.,C
In a race of 1000m A can beat B by 100m In a 400m B beats C by 40m In a race of 500m A will beat C by ,95m,50m,45m,60m,A
A runs twice as fast as B and B runs thrice as fast as C The distance covered by C in 72 minutes will be covered by A in ,18 minutes,24 minutes,16 minutes,12 minutes,D
A motorboat in still water travels at speed of 36 kmph It goes 56 km upstream in 1 hour 45 minutes The time taken by it to cover the same distance down the stream will be ,2 Hours 25 Minutes,3 Hours,1 Hours 24 Minutes,2 Hours 21 Minutes,C
A train 300m long passed a man walking along the line in the same direction at the rate of 3 kmph in 33 seconds The speed of the train is ,30 kmph,32 kmph,,,D
Two trains started at the same time one from A to B and other from B to A if they arrived at B and A respectively in 4 hours and 9 hours after they passed each other the ratio of the speeds of the two trains was ,2:01,3:02,4:03,5:04,B
Two trains of equal length running in opposite directions pass a pole in 18 and 12 seconds The trains will cross each other in ,14.4 seconds,15.5 seconds,18.8 seconds,20.2 seconds,A
A train travelling at 48 kmph crosses another train having half of its length and travelling in opposite direction at 42 kmph in 12 seconds It also passes a railway platform in 45 seconds The length of railway platform is ,200m,300m,"350m	",400m,D
Two trains 105 meters and 90 meters long run at the speeds of 45 kmph and 72 kmph respectively in opposite directions on parallel tracks The time which they take to cross each other is ,8 seconds,6 seconds,7 seconds,5 seconds,B
The ratio of lengths of two trains is 5 3 and the ratio of their speeds is 6 5 The ratio of time taken by them to cross a pole is ,5:06,11:08,25:18:00,27:16:00,C
A man is walking at a speed of 10 kmph After every km he takes rest for 5 minutes How much time will he take to cover a distance of 5 km ,60 mun,50 min,55 min,70 min,B
How much time does a train 50 m long moving at 68 km hr takes to pass another train 75 m long moving at 50 km hr in the same direction ,5 sec,10 sec,20 sec,25 sec,D
If a train with a speed of 60 km hr crosses a pole in 30 seconds The length of the train in metres is ,1000 metres,900 metres,750 metres,500 metres,D
A man travelled a certain distance train at the rate of 25 kmph and walked back at the rate of 4 kmph If the whole journey took 5 hours 48 minutes the distance was ,25 km,30 km,20 km,15 km,C
In covering a distance of 30 km Abhay takes 2 hours more than Sameer If Abhay doubles his speed then he would take 1 hour less then Sameer Abhay s speed in km hr is ,5,6,6.25,7.5,A
In a 100 metres race Kamal defeats Bimal by 5 seconds If the speed of Kamal is 18 kmph then the speed of Bimal is ,15.4 kmph,14.5 kmph,14.4 kmph,14 kmph,C
At an average speed of 80 km hr Shatabdi Express reaches Ranchi from Kolkata in 7 hrs Then the distance between Kolkata and Ranchi is ,560 km,506 km,560 m,650 m,A
Two trains one 160 m and the other 140 m long are running in opposite directions on parallel tracks the first at 77 km an hour and the other at 67 km an hour How long will they take to cross each other ,7 sec,,6 sec,10 sec,B
Raj and Prem walk in opposite direction at the rate 3 km hr and 2 km per hour respectively How far will they be from each other after 2 hrs ,8  km,10 km,2 km,61 km,B
