Question,A,B,C,D,Answer
A B and C can complete a piece of work in 24 6 and 12 days respectively Working together they will complete the same work in ,,,,4 days,C
Sakshi can do a piece of work in 20 days Tanya is 25 more efficient than Sakshi The number of days taken by Tanya to do the same piece of work is ,15,16,18,25,B
A takes twice as much time as B or thrice as much time as C to finish a piece of work Working together they can finish the work in 2 days B can do the work alone in ,4 days,6 days,8 days,12 days,B
A and B can complete a work in 15 days and 10 days respectively They started doing the work together but after 2 days B had to leave and A alone completed the remaining work The whole work was completed in ,8 days,10 days,12 days,15 days,C
A can complete a piece of work in 36 days B in 54 days and C in 72 days All the three began the work the work together but A left 8 days before the completion of the work and B 12 days before the completion of work Only C worked up to the end In how many days was the work completed ,24,25,27,30,A
While working 7 hour a day A alone can complete a piece of work in 6 days and B alone in 8 days In what time would they complete it together 8 hour a day ,3 days,4 days,2.1 days,3.6 days,A
Two pipes P and Q can fill a cistern in 12 and 15 minutes respectively Both are opened together but at the end of 3 minutes P is turned off In how many more minutes will q fill the cistern ,7,,8,,D
Two pipes can fill an empty tank separately in 24 minutes and 40 minutes respectively and a third pipe can empty 30 gallons of water per minute If all three pipes are open empty tanks become full in one hour The capacity of the tank in gallons is ,800 gallons,"600	gallons",500 gallons,400 gallons,B
A cistern can be filled by two pipes in 20 and 30 minutes respectively Both pipes being opened when the first pipe must be turned off so that the cistern may be filled in 10 minutes more ,After 10 minutes,After 12 minutes,After 20 minutes,After 8 minutes,D
Ganga and Saraswati working separately can mow field in 8 and 12 hours respectively If they work in stretches of one hour alternately Ganga is beginning at 9 a m when will the moving be completed ,6:20 PM,6:30 PM,6:36 PM,6:42 PM,C
If 10 men can do a piece of work in 12 days the time taken by 12 men to do the same piece of work will be ,12 days,10 days,9 days,8 days,B
To complete a work A takes 50 more time than B If together they take 18 days to complete the work how much time shall B take to do it ,30 days,35 days,40 days," 45 days 	",A
If 10 men or 20 boys can make 260 mats in 20 days then how many mats will be made by 8 men and 4 boys in 20 days ,260,240,280,520,A
,,,,,C
A and B can do a piece of work in 30 days while B and C can do the same work in 24 days and C and A in 20 days They all work together for 10 days when B and C leave How many days more will A take to finish the work ,18 days,24 days,30 days,36 days,A
A works twice as fast as B If B can complete a work in 12 days independently the number of days in which A and B can together finish the work in ,4 days,6 days,8 days,18 days,A
Twenty women can do a work in sixteen days Sixteen men can complete the same work in fifteen days What is the ratio between the capacity of a man and a woman ,3:04,4:03,5:03,Data inadequate,B
A and B can do a work in 8 days B and C can do the same work in 12 days A B and C together can finish it in 6 days A and C together will do it in ,4 days,6 days,8 days,12 days,C
A can finish a work in 24 days B in 9 days and C in 12 days B and C start the work but are forced to leave after 3 days The remaining work was done by A in ,5 days,6 days,10 days,,C
40 men can complete a piece of work in 18 days Eight days after they started working together 10 more men joined them How many days will they now take to complete the remaining work ,6 days,8 days,10 days,12 days,B
A B and C can complete a work in 10 12 and 15 days respectively They started the work together But A left the work 5 days before its completion B also left the work 2 days after A left In how many days was the work completed ,4,5,7,8,C
A man and a boy received Rs 800 as wages for 5 days for the work they did together The man s efficiency in the work was three times that of the boy What are the daily wages of the boy ,Rs. 40,Rs. 44,Rs. 56 ,Rs. 76,A
Two men undertake to do a piece of work for Rs 1400 The first man alone can do this work in 7 days while the second man alone can do this work in 8 days If they working together complete this work in 3 days with the help of a boy how should the money be divided ,"Rs. 600, Rs. 550, Rs. 250","Rs. 600, Rs. 525, Rs. 275","Rs. 600, Rs. 500, Rs. 300","Rs. 500, Rs. 525, Rs. 375",B
20 men can do a piece of work in 18 days They worked together for 3 days then 5 men joined In how many days is the remaining work completed ,12 days,14 days,13 days,15 days,A
Working efficiencies of P and Q for completing a piece of work are in the ratio 3 4 The number of days to be taken by them to complete the work will be in the ratio ,3:02,2:03,3:04,4:03,D
5 men can do a piece of work in 6 days while 10 women can do it in 5 days In how many days can 5 women and 3 men do it ,4 days,5 days,6 days,8 days,B
A can lay railway track between two given stations in 16 days and B can do the same job in 12 days With the help of C they did the job in 4 days only Then C alone can do the job in ,,,,$${\text{10 days}}$$,C
,,,,10,C
If 3 men or 6 women can do a piece of work in 16 days in how many days can 12 men and 8 women do the same piece of work ,4 days,5 days,3 days,2 days,C
